0.000 0 [WARN] Invalid argument "\"
c 
c Mallob -- a parallel and distributed platform for job scheduling, load balancing, and SAT solving
c Copyright (C) 2019-2025 Dominik Schreiber, Karlsruhe Institute of Technology, Germany
c 
c 0.001 0 Program options: -0o=0 -J=0 -SJ=0 -T=300 -adc=0 -aim=1 -ajpc=0 -ans=0 -apidir=.api -ba=4 -bem=1 -bicg=4 -br=0 -c=1 -cbbs=0 -cblm=1 -cblp=100000 -cdel=2 -cecpm=0 -cf=0 -cfci=10 -cfm=3 -cg=1 -ch=0 -checksums=0 -cjc=0 -client-app-threads=1 -cm=0 -cmp=0 -colors=0 -compact-proof=0 -cpshm=0 -csm=3 -cusv=1 -dc=0 -decay-distr=1 -decay-max=200 -decay-mean=50 -decay-min=1 -decay-stddev=3 -decpm=0 -delaymonkey=0 -div-elim=0 -div-fanout=0 -div-init-shuffle=0 -div-native=1 -div-noise=0 -div-phases=1 -div-reduce=0 -div-seeds=1 -dpa=1 -ds=0 -evpt=350 -evu=0 -extmem-disk-dir=.disk -fapii=0 -fcll=1 -g=0 -gclls=0 -h=0 -huca=0 -iff=0 -ilbd=0 -inotify=1 -interface-fs=0 -interface-ipc=0 -ipm=1 -ivdh=1 -jc=1 -jcl=0 -jcup=0.1 -jjp=0 -jwl=0 -l=1 -latencymonkey=0 -lbdpi=0 -lbdpo=0 -ljpc=32 -log=scripts/bnb/out//3/ -mbt=8388608 -mcips=5 -md=0 -mempanic=1 -mjps=0 -mlbdps=2 -mlpt=50000000 -mmpi=0 -mono=instances/bnb/main_under_300/bnb_n30_m2.cnf -mono-app=bnb -mscf=5 -nec=5 -no-import=0 -os=0 -otfc=0 -otfcm=1 -p=0.1 -pbbm=0 -plain-add-specific=0 -pph=0 -pre-cleanup=1 -prisma=0 -proof-debugging=0 -ps=0 -q=0 -qcll=8 -qlbdl=2 -randlbd=0 -reduce-delta=100 -reduce-max=980 -reduce-mean=700 -reduce-min=300 -reduce-stddev=150 -rlbd=3 -rpa=0 -rs=1 -rspaa=0 -s=0.5 -satsolver=C -scll=60 -scramble-lbds=0 -scsd=0 -seed=0 -sjd=0 -slbdl=60 -sleep=100 -spl=-1 -sswl=0 -t=1 -tmp=scripts/bnb/out//3/tmp/ -trace-dir=scripts/bnb/out//3/ -uninvert-proof=1 -v=2 -w=-1 -wam=10000 -warmup=0 -watchdog=1 -y=1 -yield=0 
c 0.001 0 Cleaning up pre-execution
c 0.001 0 Killing old subprocesses: "killall -9 build/mallob_sat_process 2>/dev/null"
c 0.008 0 Killing old subprocesses: "killall -9 build/impcheck_parse 2>/dev/null"
c 0.010 0 Killing old subprocesses: "killall -9 build/impcheck_check 2>/dev/null"
c 0.012 0 Killing old subprocesses: "killall -9 build/impcheck_confirm 2>/dev/null"
c 0.020 0 [WARN] Num bounce alternatives must be at most half the number of workers!
c 0.020 0 [WARN] Falling back to safe value r=1.
c 0.020 0 Set up API connector
c 0.020 0 Machine color 0 with 1 total workers (my rank: 0)
c 0.020 0 Assuming application "BNB" for mono job
c 0.132 0 [queue] In loop. Jobs left: 37945
c 0.133 0 [queue] In loop. Jobs left: 38945
c 0.134 0 [queue] In loop. Jobs left: 39945
c 0.134 0 [queue] In loop. Jobs left: 40945
c 0.135 0 [queue] In loop. Jobs left: 41945
c 0.136 0 [queue] In loop. Jobs left: 42945
c 0.137 0 [queue] In loop. Jobs left: 43945
c 0.138 0 [queue] In loop. Jobs left: 44945
c 0.139 0 [queue] In loop. Jobs left: 45945
c 0.139 0 [queue] In loop. Jobs left: 46945
c 0.140 0 [queue] In loop. Jobs left: 47945
c 0.141 0 [queue] In loop. Jobs left: 48945
c 0.142 0 [queue] In loop. Jobs left: 49935
c 0.142 0 [queue] In loop. Jobs left: 50900
c 0.143 0 [queue] In loop. Jobs left: 51859
c 0.144 0 [queue] In loop. Jobs left: 52789
c 0.144 0 [queue] In loop. Jobs left: 53743
c 0.145 0 [queue] In loop. Jobs left: 54659
c 0.146 0 [queue] In loop. Jobs left: 55541
c 0.147 0 [queue] In loop. Jobs left: 56496
c 0.147 0 [queue] In loop. Jobs left: 57413
c 0.148 0 [queue] In loop. Jobs left: 58331
c 0.149 0 [queue] In loop. Jobs left: 59228
c 0.150 0 [queue] In loop. Jobs left: 60115
c 0.150 0 [queue] In loop. Jobs left: 60971
c 0.151 0 [queue] In loop. Jobs left: 61926
c 0.152 0 [queue] In loop. Jobs left: 62843
c 0.153 0 [queue] In loop. Jobs left: 63759
c 0.153 0 [queue] In loop. Jobs left: 64656
c 0.154 0 [queue] In loop. Jobs left: 65544
c 0.155 0 [queue] In loop. Jobs left: 66399
c 0.155 0 [queue] In loop. Jobs left: 67307
c 0.156 0 [queue] In loop. Jobs left: 68185
c 0.157 0 [queue] In loop. Jobs left: 69040
c 0.158 0 [queue] In loop. Jobs left: 69941
c 0.158 0 [queue] In loop. Jobs left: 70890
c 0.159 0 [queue] In loop. Jobs left: 71806
c 0.160 0 [queue] In loop. Jobs left: 72681
c 0.160 0 [queue] In loop. Jobs left: 73593
c 0.161 0 [queue] In loop. Jobs left: 74469
c 0.162 0 [queue] In loop. Jobs left: 75355
c 0.162 0 [queue] In loop. Jobs left: 76236
c 0.163 0 [queue] In loop. Jobs left: 77088
c 0.164 0 [queue] In loop. Jobs left: 77942
c 0.165 0 [queue] In loop. Jobs left: 78866
c 0.166 0 [queue] In loop. Jobs left: 79729
c 0.166 0 [queue] In loop. Jobs left: 80591
c 0.167 0 [queue] In loop. Jobs left: 81505
c 0.168 0 [queue] In loop. Jobs left: 82450
c 0.168 0 [queue] In loop. Jobs left: 83369
c 0.169 0 [queue] In loop. Jobs left: 84238
c 0.170 0 [queue] In loop. Jobs left: 85156
c 0.170 0 [queue] In loop. Jobs left: 86020
c 0.171 0 [queue] In loop. Jobs left: 86913
c 0.172 0 [queue] In loop. Jobs left: 87781
c 0.173 0 [queue] In loop. Jobs left: 88644
c 0.173 0 [queue] In loop. Jobs left: 89511
c 0.174 0 [queue] In loop. Jobs left: 90422
c 0.175 0 [queue] In loop. Jobs left: 91284
c 0.175 0 [queue] In loop. Jobs left: 92137
c 0.176 0 [queue] In loop. Jobs left: 93083
c 0.177 0 [queue] In loop. Jobs left: 94083
c 0.178 0 [queue] In loop. Jobs left: 95083
c 0.178 0 [queue] In loop. Jobs left: 96083
c 0.179 0 [queue] In loop. Jobs left: 97083
c 0.180 0 [queue] In loop. Jobs left: 98083
c 0.181 0 [queue] In loop. Jobs left: 99083
c 0.181 0 [queue] In loop. Jobs left: 100083
c 0.182 0 [queue] In loop. Jobs left: 101083
c 0.183 0 [queue] In loop. Jobs left: 102083
c 0.184 0 [queue] In loop. Jobs left: 103083
c 0.185 0 [queue] In loop. Jobs left: 104083
c 0.185 0 [queue] In loop. Jobs left: 105083
c 0.186 0 [queue] In loop. Jobs left: 106083
c 0.187 0 [queue] In loop. Jobs left: 107083
c 0.188 0 [queue] In loop. Jobs left: 108083
c 0.189 0 [queue] In loop. Jobs left: 109083
c 0.189 0 [queue] In loop. Jobs left: 110083
c 0.190 0 [queue] In loop. Jobs left: 111083
c 0.191 0 [queue] In loop. Jobs left: 112083
c 0.191 0 [queue] In loop. Jobs left: 113083
c 0.192 0 [queue] In loop. Jobs left: 114083
c 0.193 0 [queue] In loop. Jobs left: 115083
c 0.194 0 [queue] In loop. Jobs left: 116083
c 0.194 0 [queue] In loop. Jobs left: 117083
c 0.195 0 [queue] In loop. Jobs left: 118083
c 0.196 0 [queue] In loop. Jobs left: 119083
c 0.197 0 [queue] In loop. Jobs left: 120083
c 0.197 0 [queue] In loop. Jobs left: 121083
c 0.198 0 [queue] In loop. Jobs left: 122083
c 0.199 0 [queue] In loop. Jobs left: 123083
c 0.200 0 [queue] In loop. Jobs left: 124083
c 0.200 0 [queue] In loop. Jobs left: 125083
c 0.201 0 [queue] In loop. Jobs left: 126083
c 0.202 0 [queue] In loop. Jobs left: 127083
c 0.203 0 [queue] In loop. Jobs left: 128083
c 0.203 0 [queue] In loop. Jobs left: 129083
c 0.204 0 [queue] In loop. Jobs left: 130083
c 0.205 0 [queue] In loop. Jobs left: 131083
c 0.206 0 [queue] In loop. Jobs left: 132083
c 0.207 0 [queue] In loop. Jobs left: 133083
c 0.208 0 [queue] In loop. Jobs left: 134083
c 0.208 0 [queue] In loop. Jobs left: 135083
c 0.209 0 [queue] In loop. Jobs left: 136083
c 0.210 0 [queue] In loop. Jobs left: 137083
c 0.211 0 [queue] In loop. Jobs left: 138083
c 0.211 0 [queue] In loop. Jobs left: 139083
c 0.212 0 [queue] In loop. Jobs left: 140083
c 0.213 0 [queue] In loop. Jobs left: 141083
c 0.214 0 [queue] In loop. Jobs left: 142083
c 0.214 0 [queue] In loop. Jobs left: 143083
c 0.215 0 [queue] In loop. Jobs left: 144083
c 0.216 0 [queue] In loop. Jobs left: 145083
c 0.216 0 [queue] In loop. Jobs left: 146083
c 0.217 0 [queue] In loop. Jobs left: 147083
c 0.218 0 [queue] In loop. Jobs left: 148083
c 0.219 0 [queue] In loop. Jobs left: 149083
c 0.220 0 [queue] In loop. Jobs left: 150083
c 0.220 0 [queue] In loop. Jobs left: 151083
c 0.221 0 [queue] In loop. Jobs left: 152083
c 0.222 0 [queue] In loop. Jobs left: 153083
c 0.222 0 [queue] In loop. Jobs left: 154083
c 0.223 0 [red] & [bou] Contributed {finished, lowerBound, upperBound} = {1, 10, -1} to all-reduction.
c 0.223 0 [queue] In loop. Jobs left: 155083
c 0.224 0 [queue] In loop. Jobs left: 156083
c 0.225 0 [queue] In loop. Jobs left: 157083
c 0.225 0 [queue] In loop. Jobs left: 158083
c 0.226 0 [queue] In loop. Jobs left: 159083
c 0.227 0 [queue] In loop. Jobs left: 160083
c 0.228 0 [queue] In loop. Jobs left: 161083
c 0.229 0 [queue] In loop. Jobs left: 162083
c 0.229 0 [queue] In loop. Jobs left: 163083
c 0.230 0 [queue] In loop. Jobs left: 164083
c 0.231 0 [queue] In loop. Jobs left: 165083
c 0.232 0 [queue] In loop. Jobs left: 166083
c 0.232 0 [queue] In loop. Jobs left: 167083
c 0.233 0 [red] & [bou] All-Reduction resulted in {finished, lowerBound, upperBound} = {1, 10, -1}.
c 0.233 0 [bou] Before reduction: {lower, upper, best} = {10, -1, -1}
c 0.233 0 [bou] After redution: {lower, upper, best} = {10, -1, -1}
c 0.233 0 [queue] In loop. Jobs left: 168083
c 0.234 0 [queue] In loop. Jobs left: 169083
c 0.235 0 [queue] In loop. Jobs left: 170083
c 0.235 0 [queue] In loop. Jobs left: 171083
c 0.236 0 [queue] In loop. Jobs left: 172083
c 0.237 0 [queue] In loop. Jobs left: 173083
c 0.238 0 [queue] In loop. Jobs left: 174083
c 0.238 0 [queue] In loop. Jobs left: 175083
c 0.239 0 [queue] In loop. Jobs left: 176083
c 0.240 0 [queue] In loop. Jobs left: 177083
c 0.240 0 [queue] In loop. Jobs left: 178083
c 0.241 0 [queue] In loop. Jobs left: 179083
c 0.242 0 [queue] In loop. Jobs left: 180083
c 0.243 0 [queue] In loop. Jobs left: 181083
c 0.243 0 [queue] In loop. Jobs left: 182083
c 0.244 0 [queue] In loop. Jobs left: 183083
c 0.245 0 [queue] In loop. Jobs left: 184083
c 0.246 0 [queue] In loop. Jobs left: 185083
c 0.246 0 [queue] In loop. Jobs left: 186082
c 0.247 0 [queue] In loop. Jobs left: 187073
c 0.248 0 [queue] In loop. Jobs left: 188063
c 0.248 0 [queue] In loop. Jobs left: 189029
c 0.249 0 [queue] In loop. Jobs left: 190020
c 0.250 0 [queue] In loop. Jobs left: 190985
c 0.251 0 [queue] In loop. Jobs left: 191947
c 0.252 0 [queue] In loop. Jobs left: 192875
c 0.252 0 [queue] In loop. Jobs left: 193865
c 0.253 0 [queue] In loop. Jobs left: 194830
c 0.254 0 [queue] In loop. Jobs left: 195789
c 0.254 0 [queue] In loop. Jobs left: 196720
c 0.255 0 [queue] In loop. Jobs left: 197674
c 0.256 0 [queue] In loop. Jobs left: 198591
c 0.257 0 [queue] In loop. Jobs left: 199473
c 0.258 0 [queue] In loop. Jobs left: 200444
c 0.258 0 [queue] In loop. Jobs left: 201420
c 0.259 0 [queue] In loop. Jobs left: 202386
c 0.260 0 [queue] In loop. Jobs left: 203306
c 0.261 0 [queue] In loop. Jobs left: 204269
c 0.262 0 [queue] In loop. Jobs left: 205182
c 0.262 0 [queue] In loop. Jobs left: 206104
c 0.263 0 [queue] In loop. Jobs left: 207015
c 0.264 0 [queue] In loop. Jobs left: 207964
c 0.264 0 [queue] In loop. Jobs left: 208880
c 0.265 0 [queue] In loop. Jobs left: 209755
c 0.266 0 [queue] In loop. Jobs left: 210667
c 0.267 0 [queue] In loop. Jobs left: 211543
c 0.267 0 [queue] In loop. Jobs left: 212445
c 0.268 0 [queue] In loop. Jobs left: 213434
c 0.269 0 [queue] In loop. Jobs left: 214399
c 0.269 0 [queue] In loop. Jobs left: 215352
c 0.270 0 [queue] In loop. Jobs left: 216286
c 0.271 0 [queue] In loop. Jobs left: 217229
c 0.272 0 [queue] In loop. Jobs left: 218152
c 0.272 0 [queue] In loop. Jobs left: 219016
c 0.273 0 [queue] In loop. Jobs left: 219981
c 0.274 0 [queue] In loop. Jobs left: 220906
c 0.275 0 [queue] In loop. Jobs left: 221823
c 0.275 0 [queue] In loop. Jobs left: 222714
c 0.276 0 [queue] In loop. Jobs left: 223593
c 0.277 0 [queue] In loop. Jobs left: 224445
c 0.277 0 [queue] In loop. Jobs left: 225411
c 0.278 0 [queue] In loop. Jobs left: 226334
c 0.279 0 [queue] In loop. Jobs left: 227252
c 0.280 0 [queue] In loop. Jobs left: 228142
c 0.280 0 [queue] In loop. Jobs left: 229023
c 0.281 0 [queue] In loop. Jobs left: 229875
c 0.282 0 [queue] In loop. Jobs left: 230796
c 0.282 0 [queue] In loop. Jobs left: 231663
c 0.283 0 [queue] In loop. Jobs left: 232522
c 0.284 0 [queue] In loop. Jobs left: 233442
c 0.285 0 [queue] In loop. Jobs left: 234426
c 0.286 0 [queue] In loop. Jobs left: 235391
c 0.286 0 [queue] In loop. Jobs left: 236337
c 0.287 0 [queue] In loop. Jobs left: 237281
c 0.288 0 [queue] In loop. Jobs left: 238221
c 0.288 0 [queue] In loop. Jobs left: 239138
c 0.289 0 [queue] In loop. Jobs left: 240014
c 0.290 0 [queue] In loop. Jobs left: 240979
c 0.290 0 [queue] In loop. Jobs left: 241902
c 0.291 0 [queue] In loop. Jobs left: 242805
c 0.292 0 [queue] In loop. Jobs left: 243706
c 0.293 0 [queue] In loop. Jobs left: 244574
c 0.293 0 [queue] In loop. Jobs left: 245442
c 0.294 0 [queue] In loop. Jobs left: 246407
c 0.295 0 [queue] In loop. Jobs left: 247330
c 0.296 0 [queue] In loop. Jobs left: 248235
c 0.297 0 [queue] In loop. Jobs left: 249134
c 0.297 0 [queue] In loop. Jobs left: 250002
c 0.298 0 [queue] In loop. Jobs left: 250870
c 0.299 0 [queue] In loop. Jobs left: 251784
c 0.300 0 [queue] In loop. Jobs left: 252645
c 0.300 0 [queue] In loop. Jobs left: 253497
c 0.301 0 [queue] In loop. Jobs left: 254432
c 0.302 0 [queue] In loop. Jobs left: 255369
c 0.302 0 [queue] In loop. Jobs left: 256283
c 0.303 0 [queue] In loop. Jobs left: 257165
c 0.304 0 [queue] In loop. Jobs left: 258070
c 0.305 0 [queue] In loop. Jobs left: 258927
c 0.305 0 [queue] In loop. Jobs left: 259833
c 0.306 0 [queue] In loop. Jobs left: 260703
c 0.307 0 [queue] In loop. Jobs left: 261565
c 0.307 0 [queue] In loop. Jobs left: 262436
c 0.308 0 [queue] In loop. Jobs left: 263336
c 0.309 0 [queue] In loop. Jobs left: 264190
c 0.310 0 [queue] In loop. Jobs left: 265048
c 0.310 0 [queue] In loop. Jobs left: 266009
c 0.311 0 [queue] In loop. Jobs left: 266987
c 0.312 0 [queue] In loop. Jobs left: 267952
c 0.313 0 [queue] In loop. Jobs left: 268883
c 0.313 0 [queue] In loop. Jobs left: 269840
c 0.314 0 [queue] In loop. Jobs left: 270758
c 0.315 0 [queue] In loop. Jobs left: 271672
c 0.315 0 [queue] In loop. Jobs left: 272581
c 0.316 0 [queue] In loop. Jobs left: 273537
c 0.317 0 [queue] In loop. Jobs left: 274453
c 0.318 0 [queue] In loop. Jobs left: 275334
c 0.318 0 [queue] In loop. Jobs left: 276242
c 0.319 0 [queue] In loop. Jobs left: 277120
c 0.320 0 [queue] In loop. Jobs left: 278009
c 0.320 0 [queue] In loop. Jobs left: 278965
c 0.321 0 [queue] In loop. Jobs left: 279882
c 0.322 0 [queue] In loop. Jobs left: 280763
c 0.323 0 [queue] In loop. Jobs left: 281671
c 0.323 0 [red] & [bou] Contributed {finished, lowerBound, upperBound} = {1, 10, -1} to all-reduction.
c 0.323 0 [queue] In loop. Jobs left: 282548
c 0.323 0 [red] & [bou] All-Reduction resulted in {finished, lowerBound, upperBound} = {1, 10, -1}.
c 0.323 0 [bou] Before reduction: {lower, upper, best} = {10, -1, -1}
c 0.323 0 [bou] After redution: {lower, upper, best} = {10, -1, -1}
c 0.324 0 [queue] In loop. Jobs left: 283429
c 0.325 0 [queue] In loop. Jobs left: 284315
c 0.326 0 [queue] In loop. Jobs left: 285171
c 0.326 0 [queue] In loop. Jobs left: 286023
c 0.327 0 [queue] In loop. Jobs left: 286987
c 0.328 0 [queue] In loop. Jobs left: 287899
c 0.328 0 [queue] In loop. Jobs left: 288822
c 0.329 0 [queue] In loop. Jobs left: 289719
c 0.330 0 [queue] In loop. Jobs left: 290601
c 0.331 0 [queue] In loop. Jobs left: 291453
c 0.331 0 [queue] In loop. Jobs left: 292362
c 0.332 0 [queue] In loop. Jobs left: 293242
c 0.333 0 [queue] In loop. Jobs left: 294094
c 0.333 0 [queue] In loop. Jobs left: 294981
c 0.334 0 [queue] In loop. Jobs left: 295863
c 0.335 0 [queue] In loop. Jobs left: 296716
c 0.335 0 [queue] In loop. Jobs left: 297579
c 0.336 0 [queue] In loop. Jobs left: 298544
c 0.337 0 [queue] In loop. Jobs left: 299468
c 0.338 0 [queue] In loop. Jobs left: 300376
c 0.339 0 [queue] In loop. Jobs left: 301276
c 0.340 0 [queue] In loop. Jobs left: 302145
c 0.340 0 [queue] In loop. Jobs left: 303007
c 0.341 0 [queue] In loop. Jobs left: 303926
c 0.342 0 [queue] In loop. Jobs left: 304792
c 0.343 0 [queue] In loop. Jobs left: 305648
c 0.343 0 [queue] In loop. Jobs left: 306545
c 0.344 0 [queue] In loop. Jobs left: 307413
c 0.345 0 [queue] In loop. Jobs left: 308278
c 0.346 0 [queue] In loop. Jobs left: 309149
c 0.346 0 [queue] In loop. Jobs left: 310140
c 0.347 0 [queue] In loop. Jobs left: 311105
c 0.348 0 [queue] In loop. Jobs left: 312069
c 0.349 0 [queue] In loop. Jobs left: 312995
c 0.349 0 [queue] In loop. Jobs left: 313955
c 0.350 0 [queue] In loop. Jobs left: 314877
c 0.351 0 [queue] In loop. Jobs left: 315762
c 0.351 0 [queue] In loop. Jobs left: 316708
c 0.352 0 [queue] In loop. Jobs left: 317638
c 0.353 0 [queue] In loop. Jobs left: 318550
c 0.353 0 [queue] In loop. Jobs left: 319438
c 0.354 0 [queue] In loop. Jobs left: 320338
c 0.355 0 [queue] In loop. Jobs left: 321190
c 0.356 0 [queue] In loop. Jobs left: 322137
c 0.356 0 [queue] In loop. Jobs left: 323066
c 0.357 0 [queue] In loop. Jobs left: 323980
c 0.358 0 [queue] In loop. Jobs left: 324868
c 0.359 0 [queue] In loop. Jobs left: 325768
c 0.359 0 [queue] In loop. Jobs left: 326620
c 0.360 0 [queue] In loop. Jobs left: 327529
c 0.361 0 [queue] In loop. Jobs left: 328404
c 0.362 0 [queue] In loop. Jobs left: 329261
c 0.362 0 [queue] In loop. Jobs left: 330146
c 0.363 0 [queue] In loop. Jobs left: 331105
c 0.364 0 [queue] In loop. Jobs left: 332024
c 0.364 0 [queue] In loop. Jobs left: 332909
c 0.365 0 [queue] In loop. Jobs left: 333819
c 0.366 0 [queue] In loop. Jobs left: 334691
c 0.366 0 [queue] In loop. Jobs left: 335568
c 0.367 0 [queue] In loop. Jobs left: 336460
c 0.368 0 [queue] In loop. Jobs left: 337318
c 0.369 0 [queue] In loop. Jobs left: 338174
c 0.369 0 [queue] In loop. Jobs left: 339081
c 0.370 0 [queue] In loop. Jobs left: 339959
c 0.371 0 [queue] In loop. Jobs left: 340815
c 0.371 0 [queue] In loop. Jobs left: 341715
c 0.372 0 [queue] In loop. Jobs left: 342666
c 0.373 0 [queue] In loop. Jobs left: 343580
c 0.374 0 [queue] In loop. Jobs left: 344456
c 0.374 0 [queue] In loop. Jobs left: 345367
c 0.375 0 [queue] In loop. Jobs left: 346243
c 0.376 0 [queue] In loop. Jobs left: 347130
c 0.376 0 [queue] In loop. Jobs left: 348012
c 0.377 0 [queue] In loop. Jobs left: 348864
c 0.378 0 [queue] In loop. Jobs left: 349716
c 0.378 0 [queue] In loop. Jobs left: 350640
c 0.379 0 [queue] In loop. Jobs left: 351504
c 0.380 0 [queue] In loop. Jobs left: 352366
c 0.381 0 [queue] In loop. Jobs left: 353287
c 0.381 0 [queue] In loop. Jobs left: 354287
c 0.382 0 [queue] In loop. Jobs left: 355287
c 0.383 0 [queue] In loop. Jobs left: 356287
c 0.384 0 [queue] In loop. Jobs left: 357287
c 0.384 0 [queue] In loop. Jobs left: 358287
c 0.385 0 [queue] In loop. Jobs left: 359287
c 0.386 0 [queue] In loop. Jobs left: 360287
c 0.387 0 [queue] In loop. Jobs left: 361287
c 0.387 0 [queue] In loop. Jobs left: 362287
c 0.388 0 [queue] In loop. Jobs left: 363287
